 	Area	Circ.	AR	Round	Solidity	Diameter	Volume
1	2017.205	0.893	1.319	0.758	0.971	50.679	68153.587
2	1616.442	0.817	1.719	0.582	0.955	45.366	48888.184
3	2418.924	0.829	1.554	0.643	0.957	55.497	89494.654
4	2327.102	0.832	1.731	0.578	0.982	54.433	84447.542
5	2030.595	0.883	1.388	0.721	0.974	50.847	68833.340
6	1411.756	0.877	1.338	0.747	0.964	42.397	39902.801
7	1957.903	0.888	1.104	0.906	0.965	49.929	65170.434
8	1702.524	0.876	1.297	0.771	0.965	46.559	52844.994
9	1777.130	0.899	1.163	0.860	0.969	47.568	56356.293
10	1361.063	0.887	1.192	0.839	0.954	41.629	37772.976
11	1346.716	0.822	1.174	0.852	0.941	41.409	37177.299
12	2709.692	0.811	1.480	0.676	0.962	58.737	106106.921
13	1044.470	0.889	1.380	0.725	0.967	36.467	25392.637
14	1613.572	0.868	1.186	0.843	0.949	45.326	48758.066
15	266.856	0.957	1.056	0.947	0.954	18.433	3279.292
16	2148.242	0.855	1.522	0.657	0.972	52.299	74901.149
17	1427.060	0.837	1.624	0.616	0.964	42.626	40553.383
18	5.739	1.000	1.291	0.775	0.800	2.703	10.342
19	5.739	1.000	1.291	0.775	0.800	2.703	10.342
20	1775.217	0.884	1.089	0.918	0.964	47.542	56265.322
21	1674.787	0.885	1.262	0.792	0.962	46.178	51558.832
22	228.597	0.960	1.191	0.839	0.952	17.060	2599.984
23	1795.303	0.900	1.291	0.775	0.971	47.811	57222.952
24	1554.271	0.834	1.707	0.586	0.970	44.485	46095.008
25	2013.379	0.890	1.279	0.782	0.976	50.631	67959.786
26	1904.341	0.881	1.172	0.853	0.962	49.241	62514.497
27	2109.983	0.873	1.089	0.918	0.958	51.832	72909.163
28	1897.645	0.878	1.136	0.880	0.956	49.154	62185.102
29	1728.349	0.903	1.151	0.869	0.969	46.911	54051.914
30	1726.436	0.888	1.217	0.822	0.970	46.885	53962.202
31	1499.752	0.875	1.241	0.806	0.962	43.698	43691.096
32	44.954	1.000	1.111	0.900	0.931	7.566	226.736
33	1460.536	0.861	1.394	0.717	0.956	43.123	41988.698
34	1463.406	0.890	1.331	0.751	0.964	43.166	42112.497
35	2285.017	0.895	1.262	0.793	0.976	53.939	82167.122
36	2034.421	0.883	1.190	0.840	0.967	50.895	69027.967
37	2285.974	0.839	1.513	0.661	0.963	53.950	82218.718
38	2360.579	0.840	1.517	0.659	0.966	54.823	86276.314
39	2069.811	0.885	1.237	0.808	0.967	51.336	70836.931
40	208.511	0.891	1.327	0.753	0.960	16.294	2264.950
41	2087.984	0.887	1.127	0.887	0.968	51.561	71771.902
42	2522.223	0.895	1.152	0.868	0.971	56.669	95288.183
43	1776.173	0.880	1.130	0.885	0.952	47.555	56310.801
44	1615.485	0.902	1.015	0.985	0.966	45.353	48844.799
45	2553.787	0.846	1.576	0.635	0.967	57.023	97082.453
46	1964.598	0.861	1.401	0.714	0.969	50.014	65505.009
47	343.374	0.910	1.387	0.721	0.945	20.909	4786.472
48	1841.213	0.817	1.513	0.661	0.958	48.418	59431.946
49	2040.160	0.831	1.499	0.667	0.953	50.967	69320.252
