
 	Area	Circ,	AR	Round	Solidity	Diameter	Volume
1	1454,248	0,860	1,406	0,711	0,953	43,030	41717,827
2	2305,844	0,901	1,270	0,788	0,979	54,184	83293,029
3	1470,588	0,890	1,327	0,754	0,964	43,271	42422,908
4	2047,290	0,884	1,192	0,839	0,968	51,056	69683,939
5	2310,650	0,838	1,508	0,663	0,964	54,240	83553,564
6	2105,921	0,890	1,226	0,816	0,968	51,782	72698,735
7	2094,387	0,900	1,138	0,879	0,971	51,640	72102,302
8	2544,214	0,891	1,153	0,868	0,969	56,916	96537,089
9	1657,055	0,894	1,014	0,986	0,963	45,933	50742,187
10	1992,503	0,864	1,394	0,717	0,969	50,368	66905,564
11	2408,689	0,856	1,425	0,702	0,969	55,379	88927,255
12	1885,813	0,833	1,547	0,646	0,962	49,001	61604,408
13	351,788	0,912	1,377	0,726	0,947	21,164	4963,464
14	1176,471	0,833	1,543	0,648	0,953	38,703	30355,362
15	2449,058	0,894	1,144	0,874	0,964	55,841	91172,197
16	2044,406	0,866	1,266	0,790	0,958	51,020	69536,771
17	1546,521	0,882	1,152	0,868	0,962	44,374	45750,659
18	1073,626	0,835	1,472	0,679	0,940	36,973	26463,242
19	2166,474	0,897	1,161	0,861	0,974	52,521	75856,736
20	1558,055	0,871	1,191	0,839	0,952	44,540	46263,428

22	1885,813	0,872	1,193	0,838	0,960	49,001	61604,408
23	2778,739	0,829	1,490	0,671	0,961	59,481	110188,285
24	1493,656	0,909	1,105	0,905	0,968	43,609	43424,998
25	1064,975	0,814	1,250	0,800	0,927	36,823	26144,054
26	2261,630	0,855	1,481	0,675	0,965	53,662	80908,877
27	1756,055	0,887	1,394	0,718	0,967	47,285	55356,816
28	1979,047	0,896	1,267	0,789	0,969	50,198	66228,940
29	2277,009	0,813	1,191	0,840	0,954	53,844	81735,529
30	1852,172	0,868	1,188	0,841	0,957	48,562	59963,346
31	2377,932	0,849	1,462	0,684	0,968	55,024	87229,388
32	1608,997	0,891	1,359	0,736	0,967	45,262	48550,808
33	1814,687	0,879	1,249	0,801	0,962	48,068	58152,216
34	2128,989	0,865	1,229	0,813	0,961	52,065	73896,502
35	1507,113	0,873	1,164	0,859	0,952	43,805	44013,142
36	2137,639	0,891	1,171	0,854	0,966	52,170	74347,344
37	1306,228	0,866	1,410	0,709	0,962	40,782	35513,418
38	1414,840	0,877	1,292	0,774	0,958	42,443	40033,633
39	1993,464	0,881	1,155	0,866	0,960	50,380	66953,982
40	50,942	1,000	1,080	0,926	0,906	8,054	273,512
41	1997,309	0,846	1,561	0,641	0,967	50,429	67147,771
42	1851,211	0,888	1,189	0,841	0,964	48,549	59916,676
43	1942,522	0,910	1,082	0,924	0,971	49,732	64403,987
44	1617,647	0,891	1,194	0,837	0,960	45,383	48942,873
45	1582,084	0,895	1,094	0,914	0,961	44,882	47337,796
46	2139,562	0,815	1,663	0,601	0,961	52,194	74447,655
47	1844,483	0,882	1,143	0,875	0,963	48,461	59590,324
48	2588,428	0,848	1,524	0,656	0,971	57,408	99064,446
49	1967,512	0,839	1,341	0,746	0,955	50,051	65650,804
50	1828,143	0,865	1,321	0,757	0,962	48,246	58800,234
