
 	Area	Circ.	AR	Round	Solidity	Diameter	Volume
1	2497.116	0.859	1.531	0.653	0.973	56.386	93868.960
2	2406.767	0.845	1.406	0.711	0.968	55.357	88820.819
3	1937.716	0.913	1.087	0.920	0.969	49.671	64165.130
4	1954.056	0.890	1.045	0.957	0.965	49.880	64978.451
5	1900.231	0.872	1.399	0.715	0.963	49.188	62312.229
6	226.836	0.956	1.039	0.963	0.944	16.995	2569.989
7	1888.697	0.884	1.353	0.739	0.971	49.038	61745.757
8	1179.354	0.911	1.068	0.936	0.963	38.750	30467.031
9	1702.230	0.877	1.364	0.733	0.975	46.555	52831.279
10	1188.005	0.882	1.311	0.763	0.961	38.892	30802.856
11	1955.978	0.891	1.140	0.877	0.966	49.904	65074.360
12	2276.048	0.889	1.237	0.808	0.972	53.833	81683.781
13	1573.433	0.890	1.285	0.778	0.965	44.759	46950.076
14	267.205	0.954	1.109	0.901	0.950	18.445	3285.719
15	2209.727	0.888	1.235	0.810	0.968	53.043	78139.700
16	447.905	0.932	1.165	0.858	0.952	23.881	7130.864
17	1808.920	0.880	1.298	0.771	0.966	47.992	57875.228
18	14.418	0.976	1.186	0.843	0.882	4.285	41.181
19	1147.636	0.922	1.046	0.956	0.966	38.226	29246.222
20	1609.958	0.859	1.475	0.678	0.964	45.275	48594.319
21	314.302	0.945	1.258	0.795	0.956	20.005	4191.649
22	2122.261	0.909	1.112	0.899	0.969	51.982	73546.479
23	1471.549	0.886	1.176	0.851	0.960	43.286	42464.505
24	2771.050	0.823	1.624	0.616	0.969	59.399	109731.230
25	2005.959	0.820	1.449	0.690	0.952	50.538	67584.477
26	1774.318	0.899	1.193	0.838	0.970	47.530	56222.588
27	2203.960	0.896	1.232	0.811	0.973	52.973	77834.003
28	2413.495	0.827	1.544	0.648	0.963	55.434	89193.530
29	2027.105	0.864	1.402	0.713	0.971	50.803	68655.946
30	320.069	0.916	1.211	0.826	0.937	20.187	4307.543
31	247.020	0.914	1.243	0.804	0.945	17.735	2920.539
32	1416.763	0.889	1.233	0.811	0.962	42.472	40115.251
33	1481.161	0.923	1.181	0.847	0.970	43.427	42881.231
34	1088.043	0.898	1.241	0.806	0.963	37.220	26998.083
35	1739.715	0.864	1.249	0.800	0.958	47.065	54585.984
36	2397.155	0.873	1.345	0.743	0.969	55.246	88289.277
37	1979.047	0.873	1.281	0.781	0.961	50.198	66228.940
38	7.689	1.000	1.195	0.837	0.800	3.129	16.040
39	716.071	0.915	1.127	0.887	0.963	30.195	14414.437
40	2506.728	0.831	1.563	0.640	0.970	56.495	94411.450
41	2545.175	0.863	1.400	0.714	0.970	56.926	96591.799
42	2355.825	0.865	1.263	0.792	0.962	54.768	86015.804
43	828.527	0.897	1.125	0.889	0.947	32.479	17940.072
44	1000.577	0.896	1.063	0.941	0.959	35.693	23808.903
45	1540.754	0.853	1.444	0.692	0.960	44.292	45494.989
46	1465.782	0.909	1.225	0.816	0.970	43.201	42215.122
47	2227.989	0.872	1.439	0.695	0.975	53.261	79110.373

49	242.215	0.832	1.485	0.673	0.921	17.561	2835.725
50	1963.668	0.892	1.195	0.837	0.965	50.002	65458.468
51	1150.519	0.873	1.403	0.713	0.956	38.274	29356.516
52	2173.203	0.886	1.095	0.913	0.965	52.602	76210.380
53	2444.252	0.876	1.250	0.800	0.967	55.786	90903.965
54	2524.990	0.879	1.279	0.782	0.964	56.700	95445.047
55	2858.516	0.842	1.586	0.631	0.969	60.329	114967.406
56	1306.228	0.855	1.148	0.871	0.950	40.782	35513.418
57	1234.141	0.874	1.120	0.893	0.950	39.640	32614.507
58	1770.473	0.855	1.262	0.792	0.960	47.479	56039.948
59	33.641	0.834	1.399	0.715	0.833	6.545	146.779
