 	Area	Circ,	AR	Round	Solidity	Diameter	Volume
1	1672,686	0,900	1,163	0,860	0,965	46,149	51461,864
2	1587,896	0,867	1,360	0,735	0,958	44,964	47598,881
3	204,268	0,966	1,104	0,906	0,940	16,127	2196,164
4	1851,903	0,866	1,405	0,712	0,962	48,558	59950,252
5	1147,563	0,887	1,346	0,743	0,962	38,225	29243,448
6	254,372	0,961	1,128	0,886	0,943	17,997	3051,876
7	101,171	0,984	1,131	0,884	0,925	11,350	765,499
8	413,354	0,943	1,206	0,829	0,959	22,941	6321,889
9	2079,295	0,906	1,100	0,909	0,970	51,453	71324,395
10	290,022	0,925	1,290	0,775	0,947	19,216	3715,444
11	2715,225	0,815	1,650	0,606	0,963	58,797	106432,048
12	712,048	0,873	1,425	0,702	0,954	30,110	14293,138
13	1518,522	0,907	1,075	0,930	0,967	43,971	44513,860
14	2375,099	0,848	1,539	0,650	0,965	54,992	87073,564
15	1293,056	0,899	1,125	0,889	0,958	40,575	34977,576
16	1371,102	0,865	1,238	0,808	0,955	41,782	38191,638
17	1053,137	0,912	1,253	0,798	0,966	36,618	25709,355
18	1298,837	0,874	1,190	0,840	0,958	40,666	35212,412
19	1847,085	0,877	1,369	0,731	0,961	48,495	59716,467
20	2352,938	0,873	1,375	0,727	0,971	54,734	85857,734
21	2040,754	0,810	1,647	0,607	0,963	50,974	69350,543
22	695,668	0,897	1,121	0,892	0,955	29,762	13802,785
23	2438,692	0,830	1,580	0,633	0,963	55,723	90593,941
24	1414,460	0,882	1,107	0,903	0,952	42,438	40017,506
25	829,598	0,914	1,109	0,902	0,955	32,500	17974,866
26	2354,865	0,878	1,281	0,780	0,970	54,757	85963,232
27	1519,485	0,878	1,450	0,690	0,968	43,985	44556,234
28	1434,695	0,892	1,223	0,818	0,962	42,740	40879,256
29	1415,424	0,852	1,391	0,719	0,960	42,452	40058,403
30	2302,834	0,814	1,479	0,676	0,947	54,148	83130,001
31	1502,142	0,823	1,305	0,766	0,955	43,733	43795,562
32	2211,299	0,895	1,267	0,789	0,970	53,061	78223,090
33	1084,934	0,810	1,226	0,816	0,949	37,167	26882,430
34	1535,865	0,890	1,142	0,875	0,959	44,221	45278,644
35	1961,745	0,871	1,334	0,750	0,958	49,978	65362,341
36	1553,209	0,890	1,279	0,782	0,965	44,470	46047,758
37	1331,597	0,870	1,388	0,721	0,959	41,176	36552,998
38	2304,761	0,835	1,549	0,645	0,967	54,171	83234,370
39	227,393	0,839	1,456	0,687	0,925	17,015	2579,461
40	1914,532	0,885	1,204	0,831	0,962	49,373	63017,002
41	1125,402	0,881	1,419	0,705	0,961	37,854	28400,449
42	2181,429	0,875	1,072	0,933	0,966	52,702	76643,542
43	2444,473	0,882	1,234	0,811	0,967	55,789	90916,275
44	2542,753	0,868	1,294	0,773	0,965	56,899	96453,951
45	2811,577	0,842	1,611	0,621	0,968	59,832	112147,311
46	1299,801	0,869	1,134	0,882	0,957	40,681	35251,602
47	1724,717	0,882	1,331	0,752	0,967	46,861	53881,600
48	1083,007	0,840	1,346	0,743	0,950	37,134	26810,839
49	2128,435	0,854	1,472	0,679	0,966	52,058	73867,688
50	1185,141	0,878	1,131	0,884	0,948	38,845	30691,534
51	1720,863	0,887	1,271	0,787	0,965	46,809	53701,092
52	1775,784	0,918	1,100	0,909	0,972	47,550	56292,293
53	2027,265	0,876	1,107	0,903	0,959	50,805	68664,069
54	2285,491	0,814	1,556	0,643	0,953	53,944	82192,646
